DATE,AR,IL,IN,IA,LA,MI,MN,MS,MO,WI,T_WA
2020-01-01,41.79166666666666,31.5,32.714285714285715,25.66666666666667,48.875,29.0,17.333333333333332,45.66666666666666,37.117647058823536,20.944444444444443,31.696096443647896
2020-01-02,41.41666666666666,35.375,37.142857142857146,31.6,49.33333333333334,28.578947368421048,21.9,45.111111111111114,41.76470588235294,24.055555555555557,34.413196786959155
2020-01-03,50.41666666666666,43.625,44.714285714285715,38.93333333333333,60.444444444444436,38.0,31.5,58.66666666666666,46.411764705882355,37.555555555555564,43.51298954406298
2020-01-04,49.16666666666666,38.25,42.857142857142854,32.86666666666667,59.77777777777778,35.89473684210526,27.1,58.0,41.352941176470594,32.388888888888886,39.966576029367744
2020-01-05,41.75,30.0,35.285714285714285,27.66666666666667,52.444444444444436,31.0,24.9,46.77777777777778,35.70588235294117,27.16666666666667,33.58131955377584
2020-01-06,46.70833333333334,36.125,36.42857142857143,33.86666666666667,53.555555555555564,31.47368421052632,29.7,48.555555555555564,42.0,31.16666666666667,37.26641121729971
2020-01-07,44.91666666666666,33.875,35.857142857142854,29.86666666666667,59.444444444444436,31.36842105263158,26.8,54.88888888888889,36.941176470588225,31.277777777777782,36.411508695092266
2020-01-08,45.125,34.375,34.857142857142854,28.0,52.77777777777778,29.63157894736842,17.22222222222222,48.111111111111114,40.117647058823536,25.88888888888889,34.10740185204053
2020-01-09,46.58333333333334,27.0,29.857142857142854,18.8,51.0,21.0,12.0,48.111111111111114,40.0,15.461538461538463,28.562011476769143
2020-01-10,54.56,42.25,39.142857142857146,39.8,61.66666666666666,29.78947368421053,25.8,54.77777777777778,52.17647058823529,32.333333333333336,40.967190624688314
2020-01-11,62.29166666666666,48.25,51.85714285714285,25.66666666666667,70.25,40.631578947368425,19.2,66.875,45.82352941176471,30.38888888888889,44.86625983082049
2020-01-12,46.125,36.875,48.14285714285714,19.285714285714285,59.111111111111114,31.157894736842106,14.0,60.33333333333334,29.35294117647059,22.64705882352941,35.33446600139992
2020-01-13,36.375,28.75,34.285714285714285,20.33333333333333,50.555555555555564,22.0,15.0,50.111111111111114,27.64705882352941,19.0,28.588330994879616
2020-01-14,41.458333333333336,34.75,36.285714285714285,29.066666666666666,58.33333333333334,27.73684210526316,21.66666666666667,56.22222222222222,35.529411764705884,25.722222222222218,34.660933872535516
2020-01-15,49.54166666666666,37.5,38.42857142857143,26.8,69.1111111111111,33.31578947368421,21.11111111111111,66.0,42.882352941176464,28.555555555555557,38.93689429059115
2020-01-16,60.1304347826087,35.75,38.714285714285715,16.857142857142858,70.77777777777777,31.210526315789476,13.6,68.55555555555556,41.882352941176464,22.16666666666667,37.11030233745588
2020-01-18,43.33333333333334,25.375,26.57142857142857,17.866666666666667,62.33333333333334,20.11111111111111,12.6,56.111111111111114,31.64705882352941,15.0,27.930059839378018
2020-01-19,48.69565217391305,26.25,32.42857142857143,15.8,65.33333333333333,27.47368421052632,15.111111111111109,60.66666666666666,35.941176470588225,18.777777777777782,31.610496711194905
2020-01-21,31.83333333333333,17.875,18.571428571428573,11.25,44.77777777777778,17.5625,12.0,36.77777777777778,17.066666666666666,14.333333333333336,20.26685700805826
2020-01-22,31.20833333333333,20.625,25.857142857142854,11.666666666666664,41.77777777777778,21.473684210526315,13.6,35.111111111111114,22.294117647058826,13.928571428571427,22.606597631933926
2020-01-23,32.708333333333336,28.375,27.714285714285715,28.4,42.333333333333336,27.947368421052627,26.555555555555557,38.111111111111114,31.529411764705888,27.055555555555557,30.015439739580412
2020-01-24,38.79166666666666,33.375,37.42857142857143,31.8,53.88888888888889,32.1578947368421,29.555555555555557,47.111111111111114,34.875,31.055555555555557,35.627382618032
2020-01-25,38.958333333333336,35.625,38.857142857142854,31.53333333333333,50.77777777777778,35.10526315789474,28.88888888888889,46.22222222222222,34.13333333333333,33.5,36.549241851185485
2020-01-26,41.54166666666666,32.75,34.285714285714285,27.66666666666667,50.33333333333334,35.05555555555556,29.0,44.77777777777778,31.75,33.44444444444444,35.02268313477968
2020-01-27,47.875,31.625,34.857142857142854,26.266666666666666,53.444444444444436,33.1578947368421,25.75,47.33333333333334,34.9375,30.555555555555557,34.88807954086021
2020-01-28,48.29166666666666,30.0,32.857142857142854,27.66666666666667,52.88888888888889,32.05263157894737,21.25,49.33333333333334,35.125,29.83333333333333,33.82730195217911
2020-01-29,41.44,29.875,32.57142857142857,22.53333333333333,51.444444444444436,29.47368421052632,17.125,48.22222222222222,31.529411764705888,25.66666666666667,31.429647708325465
2020-01-30,41.6,31.0,33.57142857142857,22.66666666666667,53.0,27.894736842105264,20.375,49.111111111111114,31.176470588235286,24.83333333333333,31.878918534091657
2020-01-31,40.08,32.625,33.57142857142857,26.13333333333333,51.77777777777778,28.894736842105264,22.777777777777782,48.77777777777778,33.47058823529412,26.277777777777782,32.96952672929034
2020-02-01,43.88,35.0,35.42857142857143,30.6,50.111111111111114,30.315789473684212,28.444444444444446,49.111111111111114,37.29411764705883,29.944444444444446,35.47606473079241
2020-02-02,45.72,36.375,36.285714285714285,35.13333333333333,51.555555555555564,31.894736842105264,31.8,47.22222222222222,40.588235294117645,34.45454545454545,37.537538166023396
2020-02-03,56.6,45.25,47.28571428571429,39.66666666666666,57.88888888888889,37.578947368421055,35.9,54.0,53.17647058823529,37.86363636363637,45.10917169596153
2020-02-04,59.125,44.875,46.85714285714285,32.06666666666667,61.33333333333334,35.526315789473685,24.777777777777782,59.66666666666666,51.88235294117647,31.363636363636363,43.13294395817684
2020-02-05,53.91666666666666,37.75,44.0,25.33333333333333,67.77777777777777,28.26315789473684,16.4,65.375,38.411764705882355,23.73684210526316,37.43445828259599
2020-02-06,40.29166666666666,30.0,32.0,22.6,60.33333333333334,23.0,17.0,61.88888888888889,30.117647058823533,19.055555555555557,30.83684298638328
2020-02-07,33.291666666666664,29.125,28.0,21.93333333333333,44.125,23.842105263157894,18.777777777777782,44.66666666666666,27.94117647058824,20.772727272727273,27.99461995486362
2020-02-08,36.875,30.5,28.57142857142857,23.066666666666666,47.88888888888889,22.842105263157894,17.166666666666668,42.77777777777778,30.764705882352942,21.954545454545453,28.861129215827248
2020-02-09,42.869565217391305,29.25,30.857142857142854,18.928571428571427,56.77777777777778,21.5,11.0,51.111111111111114,32.411764705882355,20.666666666666668,29.274620962964864
2020-02-10,54.75,33.75,33.0,27.6,62.88888888888889,24.947368421052627,15.5,58.66666666666666,44.235294117647065,20.210526315789476,34.46105209498633
2020-02-11,50.60869565217392,34.625,37.42857142857143,22.4,68.8888888888889,27.578947368421048,15.75,65.55555555555556,36.52941176470589,15.529411764705882,34.68370059014817
2020-02-12,41.88,32.25,34.0,25.73333333333333,62.22222222222222,26.47368421052632,21.88888888888889,58.25,37.117647058823536,20.63636363636364,33.6175673031011
2020-02-13,41.16666666666666,31.125,31.714285714285715,22.466666666666665,62.111111111111114,26.78947368421053,16.4,62.111111111111114,32.47058823529412,22.5,32.357455490472816
2020-02-16,40.32,25.375,23.857142857142854,27.066666666666666,51.0,19.57894736842105,22.11111111111111,47.66666666666666,35.0,20.181818181818183,28.307029739012314
2020-02-17,52.25,32.125,34.285714285714285,29.86666666666667,59.88888888888889,25.944444444444446,22.0,54.111111111111114,40.411764705882355,20.6,34.22388275650136
2020-02-18,57.75,37.875,34.857142857142854,33.93333333333333,62.444444444444436,22.117647058823533,23.6,58.555555555555564,47.411764705882355,26.04545454545455,37.13101898744069
2020-02-19,50.58333333333334,34.125,37.142857142857146,25.2,68.22222222222223,29.157894736842106,14.5,63.555555555555564,38.647058823529406,21.142857142857142,35.43790550121703
2020-02-21,38.48,20.875,24.285714285714285,14.714285714285715,48.88888888888889,17.5,14.0,44.0,26.764705882352942,12.0,23.633796673096196
2020-02-22,34.0,25.25,25.142857142857146,25.4,44.0,23.78947368421053,22.8,39.111111111111114,28.705882352941174,19.444444444444443,27.118453746740087
2020-02-23,38.8,37.0,35.714285714285715,37.13333333333333,46.0,34.94736842105263,28.2,42.77777777777778,39.23529411764706,31.33333333333333,36.45431441241502
2020-02-24,46.44,45.25,42.857142857142854,41.333333333333336,54.111111111111114,39.31578947368421,32.9,49.33333333333334,49.29411764705882,38.16666666666666,43.32751122449133
2020-02-25,56.29166666666666,40.875,40.57142857142857,35.266666666666666,61.66666666666666,35.94736842105263,29.6,58.111111111111114,44.647058823529406,31.0,41.3289580407571
2020-02-26,47.79166666666666,36.625,38.142857142857146,34.0,58.555555555555564,32.0,27.1,55.111111111111114,38.76470588235294,30.777777777777782,37.80588482485309
2020-02-27,36.24,31.0,31.42857142857143,27.066666666666666,48.111111111111114,25.26315789473684,19.777777777777782,46.77777777777778,32.05882352941177,25.61111111111111,30.79159467723892
2020-02-28,38.36,29.75,28.0,26.8,43.555555555555564,20.157894736842106,16.77777777777778,41.77777777777778,34.05882352941177,19.4375,28.14307313899924
2020-02-29,46.84,28.125,25.0,25.0,52.111111111111114,21.263157894736842,18.0,46.66666666666666,39.8235294117647,17.352941176470587,29.370627218105007
2020-03-01,49.76,28.5,25.42857142857143,30.66666666666667,56.22222222222222,23.894736842105264,22.1,51.77777777777778,41.882352941176464,20.33333333333333,31.80602942298124
2020-03-02,57.36,47.875,40.42857142857143,44.66666666666666,61.0,32.736842105263165,35.9,57.444444444444436,55.17647058823529,39.111111111111114,45.12666687913451
2020-03-03,64.88,43.75,48.57142857142857,34.06666666666667,69.1111111111111,36.78947368421053,31.1,66.1111111111111,48.058823529411775,34.22222222222222,45.06994691853345
2020-03-04,57.08,42.75,44.57142857142857,41.0,71.8888888888889,33.526315789473685,33.3,68.8888888888889,49.0,34.27777777777778,44.507902903979655
2020-03-05,53.52,42.375,41.142857142857146,40.13333333333333,63.88888888888889,31.684210526315788,29.7,58.75,47.82352941176471,33.77777777777778,41.91680766345898
2020-03-06,56.24,44.375,42.42857142857143,40.8,61.111111111111114,31.47368421052632,32.1,57.0,48.29411764705882,35.944444444444436,42.79075474994154
2020-03-07,49.6,36.375,34.142857142857146,35.73333333333333,57.88888888888889,27.052631578947373,24.9,53.22222222222222,42.470588235294116,29.16666666666667,36.54999138246137
2020-03-08,46.76,39.625,35.0,46.33333333333334,52.66666666666666,29.842105263157894,39.5,50.0,47.941176470588225,35.666666666666664,40.162173632381155
2020-03-09,52.6,52.125,49.0,56.0,57.66666666666666,45.157894736842096,45.9,56.555555555555564,57.058823529411775,50.0,51.216786852319714
2020-03-10,59.12,52.5,56.714285714285715,43.33333333333334,65.55555555555556,46.842105263157904,32.8,62.88888888888889,51.82352941176471,42.16666666666666,50.51140830681526
2020-03-11,57.28,45.25,46.14285714285714,38.13333333333333,71.1111111111111,36.473684210526315,28.6,67.55555555555556,44.764705882352935,35.333333333333336,44.66113360374666
2020-03-12,58.4,43.875,41.857142857142854,44.8,71.1111111111111,34.57894736842105,33.9,68.33333333333333,52.82352941176471,37.444444444444436,45.53584667327066
2020-03-13,67.44,48.0,49.57142857142857,46.46666666666667,72.66666666666667,41.631578947368425,37.6,71.33333333333333,55.764705882352935,41.055555555555564,50.19599064992396
2020-03-14,53.95652173913044,43.0,46.57142857142857,37.66666666666666,71.44444444444444,37.631578947368425,29.3,68.55555555555556,43.764705882352935,36.16666666666666,44.35882968266296
2020-03-15,48.68,37.875,38.142857142857146,32.2,72.44444444444444,30.73684210526316,25.8,70.0,40.117647058823536,29.83333333333333,39.526246708180835
2020-03-16,45.64,37.125,39.142857142857146,31.66666666666667,70.0,30.73684210526316,27.2,63.66666666666666,37.70588235294117,29.944444444444446,38.70206140619733
2020-03-17,45.4,38.125,39.42857142857143,37.66666666666666,66.33333333333333,32.05263157894737,30.8,64.44444444444444,40.76470588235294,32.833333333333336,40.13503035174613
2020-03-18,52.48,43.875,42.57142857142857,37.4,70.77777777777777,34.57894736842105,32.5,68.55555555555556,47.11764705882353,35.944444444444436,44.07271752006285
2020-03-19,61.76,45.5,42.142857142857146,43.4,74.1111111111111,34.10526315789474,35.4,72.44444444444444,54.529411764705884,36.944444444444436,46.61676239255032
2020-03-20,69.43478260869566,55.75,55.57142857142857,45.86666666666667,77.33333333333333,41.368421052631575,33.8,76.66666666666667,62.17647058823529,39.411764705882355,53.25605902687676
2020-03-21,56.08,47.25,50.5,32.0,70.66666666666667,36.05263157894737,25.66666666666667,70.44444444444444,46.411764705882355,29.944444444444446,44.59895701083878
2020-03-22,47.76,33.375,32.714285714285715,32.53333333333333,62.375,24.0,23.3,57.22222222222222,38.470588235294116,25.88888888888889,34.68011782593165
2020-03-23,46.875,32.375,33.285714285714285,34.06666666666667,66.0,26.578947368421048,34.0,61.555555555555564,39.588235294117645,32.111111111111114,37.1851809825309
2020-03-24,55.04,37.75,39.714285714285715,39.0,73.44444444444444,34.473684210526315,36.3,69.44444444444444,46.58823529411765,36.055555555555564,43.22951432811844
2020-03-25,62.84,41.5,41.142857142857146,43.73333333333333,75.1111111111111,36.526315789473685,39.1,72.55555555555556,47.11764705882353,40.16666666666666,46.12634229907107
2020-03-26,58.0,46.25,47.28571428571429,44.66666666666666,75.22222222222223,41.526315789473685,39.0,68.66666666666667,54.529411764705884,42.77777777777778,49.233686835312746
2020-03-27,69.8,50.625,55.57142857142857,47.0,76.1111111111111,42.578947368421055,36.9,71.8888888888889,61.941176470588225,40.555555555555564,52.509554678979704
2020-03-28,73.84,53.25,54.42857142857143,46.53333333333333,78.375,41.1578947368421,41.6,77.0,63.941176470588225,41.888888888888886,54.062116177936986
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-29,66.4,62.125,61.0,53.4,73.875,43.631578947368425,40.7,77.1111111111111,64.41176470588235,43.83333333333334,56.844965651848604
2020-03-30,59.95833333333334,53.875,58.42857142857143,45.53333333333333,68.5,47.42105263157895,41.9,67.33333333333333,56.75,42.72222222222222,53.07644994841588
2020-03-31,56.54166666666666,49.75,46.714285714285715,46.33333333333334,69.375,39.10526315789474,42.2,66.1111111111111,54.0625,43.77777777777778,49.28959478367481
2020-04-01,57.04166666666666,42.875,42.142857142857146,45.6,63.0,38.368421052631575,40.2,58.22222222222222,55.352941176470594,37.388888888888886,45.67489850894009
2020-04-02,57.29166666666666,46.375,46.0,47.66666666666666,61.111111111111114,41.94736842105263,41.3,58.555555555555564,54.9375,40.81818181818182,47.79977689784577
2020-04-03,63.5,51.625,47.0,52.33333333333334,65.22222222222223,43.21052631578947,47.3,62.22222222222222,60.058823529411775,45.86363636363637,51.81378035715492
2020-04-04,59.25,55.75,54.85714285714285,39.0,69.125,45.31578947368421,32.9,66.1111111111111,48.470588235294116,45.59090909090909,50.943471575279304
2020-04-05,51.56521739130435,45.0,51.28571428571429,37.6,67.5,40.05263157894737,30.0,64.8888888888889,40.52941176470589,37.5,44.95825964907288
2020-04-06,60.125,48.375,49.0,45.46666666666667,68.625,40.26315789473684,40.1,69.55555555555556,49.235294117647065,39.63636363636363,48.61164958470035
2020-04-07,64.70833333333333,53.875,52.28571428571429,52.86666666666667,72.22222222222223,42.94736842105263,46.7,70.33333333333333,60.470588235294116,44.04545454545455,53.65683299192774
2020-04-08,71.83333333333333,67.5,67.28571428571429,64.8,77.0,49.68421052631579,53.8,72.0,71.29411764705883,54.36363636363637,63.42496410164551
2020-04-09,76.08333333333333,63.85714285714285,65.0,53.53333333333333,79.1111111111111,51.0,43.4,77.0,70.35294117647061,48.59090909090909,61.04826219307399
2020-04-10,64.08333333333333,45.125,44.42857142857143,38.46666666666667,75.22222222222223,38.42105263157895,34.5,72.0,50.4375,38.66666666666666,47.09159391862654
2020-04-11,51.91666666666666,42.875,41.714285714285715,38.53333333333333,63.88888888888889,35.57894736842105,36.6,56.77777777777778,43.5,39.5,43.21670055207603
2020-04-12,56.5,54.0,49.57142857142857,49.66666666666666,65.44444444444444,41.94736842105263,44.4,59.33333333333334,56.3125,44.5,50.99786166778294
2020-04-13,58.82608695652174,54.375,56.14285714285714,42.333333333333336,72.75,47.78947368421053,34.7,69.0,50.8125,40.77777777777778,51.71868862601475
2020-04-14,46.46153846153846,41.714285714285715,45.66666666666666,32.583333333333336,56.5,40.888888888888886,26.83333333333333,54.875,38.882352941176464,33.42857142857143,41.09310835852288
