ST,NAME,LD,CAL,CAR,CENT,FLA,MIDA,MIDW,NE,NY,NW,SE,SW,TEN,TEX,Population,Governor,Party affiliation
AL,Alabama,4/4/20,,,,,,,,,,1,,,,4903185,Kay Ivey,Republican Party
AK,Alaska,3/28/20,,,,,,,,,,,,,,731545,Mike Dunleavy,Republican Party
AZ,Arizona,3/31/20,,,,,,,,,,,1,,,7278717,Doug Ducey,Republican Party
AR,Arkansas,3/31/20,,,,,,1,,,,,,,,3017804,Asa Hutchinson,Republican Party
CA,California,3/19/20,1,,,,,,,,,,,,,39512223,Gavin Newsom,Democratic Party
CO,Colorado,3/26/20,,,,,,,,,1,,,,,5758736,Jared Polis,Democratic Party
CT,Connecticut,3/23/20,,,,,,,1,,,,,,,3565287,Ned Lamont,Democratic Party
DE,Delaware,3/24/20,,,,,1,,,,,,,,,973764,John C. Carney Jr.,Democratic Party
FL,Florida,3/3/20,,,,1,,,,,,,,,,21477737,Ron DeSantis,Republican Party
GA,Georgia,3/19/20,,,,,,,,,,1,,,,10617423,Brian Kemp,Republican Party
HI,Hawaii,3/25/20,,,,,,,,,,,,,,1415872,David Ige,Democratic Party
ID,Idaho,3/25/20,,,,,,,,,1,,,,,1787065,Brad Little,Republican Party
IL,Illinois,3/21/20,,,,,,1,,,,,,,,12671821,J.B. Pritzker,Democratic Party
IN,Indiana,3/24/20,,,,,,1,,,,,,,,6732219,Eric Holcomb,Republican Party
IA,Iowa,,,,,,,1,,,,,,,,3155070,Kim Reynolds,Republican Party
KS,Kansas,3/30/20,,,1,,,,,,,,,,,2913314,Laura Kelly,Democratic Party
KY,Kentucky,3/26/20,,,,,,,,,,,,,,4467673,Andy Beshear,Democratic Party
LA,Louisiana,3/23/20,,,,,,1,,,,,,,,4648794,John Bel Edwards,Democratic Party
ME,Maine,4/2/20,,,,,,,1,,,,,,,1344212,Janet T. Mills,Democratic Party
MD,Maryland,3/30/20,,,,,,,,,,,,,,6045680,Larry Hogan,Republican Party
MA,Massachusetts,3/24/20,,,,,,,1,,,,,,,6892503,Charles D. Baker,Republican Party
MI,Michigan,3/24/20,,,,,,1,,,,,,,,9986857,Gretchen Whitmer,Democratic Party
MN,Minnesota,3/27/20,,,,,,1,,,,,,,,5639632,Tim Walz,Democratic Party
MS,Mississippi,4/3/20,,,,,,1,,,,,,,,2976149,Tate Reeves,Republican Party
MO,Missouri,4/6/20,,,,,,1,,,,,,,,6137428,Mike Parson,Republican Party
MT,Montana,3/28/20,,,,,,,,,1,,,,,1068778,Steve Bullock,Democratic Party
NE,Nebraska,,,,1,,,,,,,,,,,1934408,Pete Ricketts,Republican Party
NV,Nevada,4/1/20,,,,,,,,,1,,,,,3080156,Steve Sisolak,Democratic Party
NH,New Hampshire,3/27/20,,,,,,,1,,,,,,,1359711,Chris Sununu,Republican Party
NJ,New Jersey,3/21/20,,,,,1,,,,,,,,,8882190,Phil Murphy,Democratic Party
NM,New Mexico,3/24/20,,,,,,,,,,,1,,,2096829,Michelle Lujan Grisham,Democratic Party
NY,New York,3/22/20,,,,,,,,1,,,,,,19453561,Andrew Cuomo,Democratic Party
NC,North Carolina,3/30/20,,1,,,,,,,,,,,,10488084,Roy Cooper,Democratic Party
ND,North Dakota,,,,1,,,,,,,,,,,762062,Doug Burgum,Republican Party
OH,Ohio,3/23/20,,,,,1,,,,,,,,,11689100,Richard Michael DeWine,Republican Party
OK,Oklahoma,3/30/20,,,1,,,,,,,,,,,3956971,Kevin Stitt,Republican Party
OR,Oregon,3/23/20,,,,,,,,,1,,,,,4217737,Kate Brown,Democratic Party
PA,Pennsylvania,4/1/20,,,,,,,,,,,,,,12801989,Tom Wolf,Democratic Party
RI,Rhode Island,3/28/20,,,,,,,1,,,,,,,1059361,Gina Raimondo,Democratic Party
SC,South Carolina,4/7/20,,1,,,,,,,,,,,,5148714,Henry McMaster,Republican Party
SD,South Dakota,,,,1,,,,,,,,,,,884659,Kristi L. Noem,Republican Party
TN,Tennessee,3/31/20,,,,,,,,,,,,1,,6829174,Bill Lee,Republican Party
TX,Texas,4/2/20,,,,,,,,,,,,,1,28995881,Greg Abbott,Republican Party
UT,Utah,3/30/20,,,,,,,,,,,,,,3205958,Gary Herbert,Republican Party
VT,Vermont,3/25/20,,,,,,,1,,,,,,,623989,Phil Scott,Republican Party
VA,Virginia,3/30/20,,,,,1,,,,,,,,,8535519,Ralph Northam,Democratic Party
WA,Washington,3/23/20,,,,,,,,,1,,,,,7614893,Jay Inslee,Democratic Party
WV,West Virginia,3/24/20,,,,,1,,,,,,,,,1792147,Jim Justice,Republican Party
WI,Wisconsin,3/25/20,,,,,,1,,,,,,,,5822434,Tony Evers,Democratic Party
WY,Wyoming,3/28/20,,,,,,,,,1,,,,,578759,Mark Gordon,Republican Party